col2	long1	lat1	col3	long2	lat2	distance
Brikama	-16.642965	13.274707	Brikama	-16.642965	13.274707	0
Brikama	-16.642965	13.274707	Thies	-16.92566	14.791345	171
Brikama	-16.642965	13.274707	Bounkiling	-15.698502	13.039072	106
Brikama	-16.642965	13.274707	Besse	-16.36199	13.195759	32
Brikama	-16.642965	13.274707	Chogen	-16.008846	13.584186	77
Brikama	-16.642965	13.274707	DongoroBa	-15.294932	13.379913	146
Brikama	-16.642965	13.274707	SareSeedy	-15.099018	13.74713	175
Brikama	-16.642965	13.274707	Njayel	-14.023212	13.33612	284
Brikama	-16.642965	13.274707	SareWuro	-14.056502	13.543971	281
Brikama	-16.642965	13.274707	Basse	-14.219973	13.311182	262
Brikama	-16.642965	13.274707	Velingara	-14.107776	13.146263	275
Brikama	-16.642965	13.274707	Farafenni	-15.597754	13.572898	118
Brikama	-16.642965	13.274707	Serrekunda	-16.685126	13.440287	19
Thies	-16.92566	14.791345	Brikama	-16.642965	13.274707	171
Thies	-16.92566	14.791345	Thies	-16.92566	14.791345	0
Thies	-16.92566	14.791345	Bounkiling	-15.698502	13.039072	236
Thies	-16.92566	14.791345	Besse	-16.36199	13.195759	188
Thies	-16.92566	14.791345	Chogen	-16.008846	13.584186	167
Thies	-16.92566	14.791345	DongoroBa	-15.294932	13.379913	236
Thies	-16.92566	14.791345	SareSeedy	-15.099018	13.74713	229
Thies	-16.92566	14.791345	Njayel	-14.023212	13.33612	352
Thies	-16.92566	14.791345	SareWuro	-14.056502	13.543971	339
Thies	-16.92566	14.791345	Basse	-14.219973	13.311182	335
Thies	-16.92566	14.791345	Velingara	-14.107776	13.146263	355
Thies	-16.92566	14.791345	Farafenni	-15.597754	13.572898	197
Thies	-16.92566	14.791345	Serrekunda	-16.685126	13.440287	152
Bounkiling	-15.698502	13.039072	Brikama	-16.642965	13.274707	106
Bounkiling	-15.698502	13.039072	Thies	-16.92566	14.791345	236
Bounkiling	-15.698502	13.039072	Bounkiling	-15.698502	13.039072	0
