SampleID	Location	Country	Year	Region
SPT34839	Farafenni	Gambia	1984	center
SPT34840	Farafenni	Gambia	1984	center
SPT34841	Farafenni	Gambia	1984	center
SPT34844	Farafenni	Gambia	1984	center
SPT34845	Farafenni	Gambia	1984	center
SPT34846	Farafenni	Gambia	1984	center
SPT34848	Farafenni	Gambia	1984	center
SPT34849	Farafenni	Gambia	1984	center
SPT34850	Farafenni	Gambia	1984	center
SPT34851	Farafenni	Gambia	1984	center
SPT34852	Farafenni	Gambia	1984	center
SPT34853	Farafenni	Gambia	1984	center
SPT34854	Farafenni	Gambia	1984	center
SPT34856	Farafenni	Gambia	1984	center
SPT34857	Farafenni	Gambia	1984	center
SPT34858	Farafenni	Gambia	1984	center
SPT34860	Farafenni	Gambia	1984	center
SPT34861	Farafenni	Gambia	1984	center
SPT34863	Farafenni	Gambia	1984	center
SPT34864	Farafenni	Gambia	1984	center
SPT34865	Farafenni	Gambia	1984	center
SPT34866	Farafenni	Gambia	1984	center
SPT34867	Farafenni	Gambia	1984	center
SPT34868	Farafenni	Gambia	1984	center
SPT34869	Farafenni	Gambia	1984	center
SPT34871	Farafenni	Gambia	1984	center
SPT34872	Farafenni	Gambia	1984	center
SPT34873	Farafenni	Gambia	1984	center
SPT34874	Farafenni	Gambia	1984	center
SPT34875	Farafenni	Gambia	1984	center
SPT34876	Farafenni	Gambia	1984	center
SPT34877	Farafenni	Gambia	1984	center
SPT34879	Farafenni	Gambia	1984	center
SPT34881	Farafenni	Gambia	1984	center
SPT34882	Farafenni	Gambia	1984	center
SPT34884	Farafenni	Gambia	1984	center
SPT34885	Farafenni	Gambia	1984	center
SPT34886	Farafenni	Gambia	1984	center
SPT34887	Farafenni	Gambia	1984	center
SPT34888	Farafenni	Gambia	1984	center
SPT34889	Farafenni	Gambia	1984	center
SPT34890	Farafenni	Gambia	1984	center
SPT34891	Farafenni	Gambia	1984	center
SPT34892	Farafenni	Gambia	1984	center
SPT34893	Farafenni	Gambia	1984	center
SPT34894	Farafenni	Gambia	1984	center
SPT34895	Farafenni	Gambia	1984	center
SPT34896	Farafenni	Gambia	1984	center
SPT34898	Farafenni	Gambia	1984	center
SPT34899	Farafenni	Gambia	1984	center
SPT34900	Farafenni	Gambia	1984	center
SPT34901	Farafenni	Gambia	1984	center
SPT34902	Farafenni	Gambia	1984	center
SPT34903	Farafenni	Gambia	1984	center
SPT34904	Farafenni	Gambia	1984	center
SPT34905	Farafenni	Gambia	1984	center
SPT34906	Farafenni	Gambia	1984	center
SPT34908	Farafenni	Gambia	1984	center
SPT34909	Farafenni	Gambia	1984	center
SPT34910	Farafenni	Gambia	1984	center
SPT34912	Farafenni	Gambia	1984	center
SPT34913	Farafenni	Gambia	1984	center
SPT34914	Farafenni	Gambia	1984	center
